,,,Communication History Report,,,,,,,
,,,5/29/18 10:28 AM,,,,,,,
"* Maximum 50,000 records",,,,,,,,,,
Date Time From,,,Date Time To,,,,,,,
Duration From,,,Duration To,,,,,,,
Calling Number,,,,,,,,,,
Category,,,,,,,,,,
ResourceAOR,,,,,,,,,,
User,,,,,,,,,,
Call Type,,,,,,,,,,
Call Usage,,,,,,,,,,
Destination,,,,,,,,,,
Priority,,,,,,,,,,
History,Full,,,,,,,,,
Date/Time,User,Call Type,EventType,From,To,Duration,RingTime,PTT Duration,ConnectionID,AnsweringPartyName
Enterprise Call Id,,,,,,,,,,
25/05/2018 18:26:34,pperez,resource,Initiated,3174403051,05935500,00:00:14,1,0,Conn_423_192.168.33.164_1527290793937,NULL
Enterprise Call Id,Call_235_192.168.33.164_1527290696957,,,,,,,,,
25/05/2018 18:24:57,pperez,resource,Initiated,3174403051,05935500,00:00:14,1,0,Conn_420_192.168.33.164_1527290696945,NULL
Enterprise Call Id,Call_234_192.168.33.164_1527290605001,,,,,,,,,
25/05/2018 18:23:25,pperez,resource,Initiated,3174403051,05935500,00:00:25,1,0,Conn_418_192.168.33.164_1527290604987,NULL
Enterprise Call Id,Call_233_192.168.33.164_1527290430880,,,,,,,,,
25/05/2018 18:20:31,pperez,resource,Initiated,59335500,05935500,00:00:38,1,0,Conn_416_192.168.33.164_1527290430866,NULL
Enterprise Call Id,Call_232_192.168.33.164_1527289992053,,,,,,,,,
25/05/2018 18:13:12,pperez,resource,Initiated,3193554385,003319554385,00:00:28,28,0,Conn_414_192.168.33.164_1527289992040,NULL
Enterprise Call Id,Call_231_192.168.33.164_1527289956394,,,,,,,,,
25/05/2018 18:12:36,pperez,resource,Initiated,3193554385,003319554385,00:00:23,23,0,Conn_412_192.168.33.164_1527289956383,NULL
Enterprise Call Id,Call_230_192.168.33.164_1527289873200,,,,,,,,,
25/05/2018 18:11:13,pperez,resource,Initiated,3174403051,0033174403051,00:00:11,4,0,Conn_410_192.168.33.164_1527289873186,NULL
Enterprise Call Id,Call_229_192.168.33.164_1527289859204,,,,,,,,,
